Date,Gen Guide Bearing Temp,Gen Thrust Bearing Temperature
24/6/2020,72,76
25/6/2020,73,73
26/6/2020,73,76
27/6/2020,73,76
28/6/2020,68,71
29/6/2020,71,74
30/6/2020,73,75
1/7/2020,73,71
2/7/2020,74,72
3/7/2020,73,72
4/7/2020,73,75
5/7/2020,74,76
6/7/2020,73,75
7/7/2020,72,75
8/7/2020,71,74
9/7/2020,71,74
10/7/2020,71,74
11/7/2020,73,75
12/7/2020,70,75
13/7/2020,71,74
14/7/2020,76,73
15/7/2020,72,76
16/7/2020,72,76
17/7/2020,72,74
18/7/2020,69,72
19/7/2020,71,75
20/7/2020,71,74
21/7/2020,71,74
22/7/2020,68,73
23/7/2020,71,75
24/7/2020,72,74
25/7/2020,71,75
26/7/2020,,
27/7/2020,71,75
28/7/2020,71,75
29/7/2020,71,75
30/7/2020,71,74
31/7/2020,71,74
1/8/2020,71,74
2/8/2020,71,74
3/8/2020,71,74
4/8/2020,71,72
5/8/2020,70,72
6/8/2020,71,72
7/8/2020,71,71
8/8/2020,70,71
9/8/2020,70,73
10/8/2020,70,72
11/8/2020,70,71
12/8/2020,70,70
13/8/2020,70,70
14/8/2020,70,70
15/8/2020,70,70
16/8/2020,70,71
17/8/2020,70,70
18/8/2020,70,72
19/8/2020,70,72
20/8/2020,70,70
21/8/2020,69,70
22/8/2020,70,71
23/8/2020,70,69
24/8/2020,70,72
25/8/2020,69,72
26/8/2020,69,70
27/8/2020,69,70
28/8/2020,69,72
29/8/2020,68,71
30/8/2020,,
31/8/2020,,
1/9/2020,,
2/9/2020,69,71
3/9/2020,69,71
4/9/2020,69,72
5/9/2020,69,72
6/9/2020,69,72
7/9/2020,68,71
8/9/2020,68,69
9/9/2020,69,70
10/9/2020,69,68
11/9/2020,69,71
12/9/2020,68,71
13/9/2020,69,70
14/9/2020,66,66
15/9/2020,69,72
16/9/2020,69,72
17/9/2020,69,72
18/9/2020,69,72
19/9/2020,69,72
20/9/2020,69,72
21/9/2020,69,72
22/9/2020,68,72
23/9/2020,68,69
24/9/2020,66,68
25/9/2020,68,71
26/9/2020,68,71
27/9/2020,66,68
28/9/2020,68,70
29/9/2020,68,72
30/9/2020,68,70
1/10/2020,69,69
2/10/2020,68,71
3/10/2020,68,70
4/10/2020,,
5/10/2020,68,72
6/10/2020,68,72
7/10/2020,74,71
8/10/2020,68,70
9/10/2020,68,67
10/10/2020,70,71
11/10/2020,68,67
12/10/2020,68,70
13/10/2020,68,70
14/10/2020,68,70
15/10/2020,68,72
16/10/2020,68,72
17/10/2020,69,70
18/10/2020,68,71
19/10/2020,68,72
20/10/2020,70,72
21/10/2020,69,70
22/10/2020,70,70
23/10/2020,77,70
24/10/2020,68,70
25/10/2020,68,70
26/10/2020,68,70
27/10/2020,68,70
28/10/2020,68,71
29/10/2020,,
30/10/2020,,
31/10/2020,,
1/11/2020,,
2/11/2020,67,69
3/11/2020,68,72
4/11/2020,68,70
5/11/2020,68,68
6/11/2020,68,71
7/11/2020,68,70
8/11/2020,68,70
9/11/2020,69,71
10/11/2020,68,71
11/11/2020,68,70
12/11/2020,68,72
13/11/2020,68,68
14/11/2020,68,71
15/11/2020,68,70
16/11/2020,68,72
17/11/2020,68,70
18/11/2020,68,72
19/11/2020,70,69
20/11/2020,68,72
21/11/2020,69,73
22/11/2020,69,71
23/11/2020,68,71
24/11/2020,68,73
25/11/2020,69,70
26/11/2020,69,73
27/11/2020,69,73
28/11/2020,67,70
29/11/2020,67,70
30/11/2020,68,71
1/12/2020,68,73
2/12/2020,68,72
3/12/2020,68,69
4/12/2020,68,70
5/12/2020,68,71
6/12/2020,68,70
7/12/2020,68,71
8/12/2020,68,71
9/12/2020,68,72
10/12/2020,70,68
11/12/2020,68,71
12/12/2020,68,71
13/12/2020,,
14/12/2020,68,70
15/12/2020,68,70
16/12/2020,68,72
17/12/2020,68,70
18/12/2020,69,68
19/12/2020,69,71
20/12/2020,68,71
21/12/2020,68,72
22/12/2020,68,72
23/12/2020,68,73
24/12/2020,68,73
25/12/2020,,
26/12/2020,66,70
27/12/2020,,
28/12/2020,,
29/12/2020,68,72
30/12/2020,,
31/12/2020,68,71
1/1/2021,,
2/1/2021,64,68
3/1/2021,66,70
4/1/2021,69,71
5/1/2021,68,73
6/1/2021,68,73
7/1/2021,68,71
8/1/2021,68,70
9/1/2021,68,70
10/1/2021,71,69
11/1/2021,69,73
12/1/2021,68,73
13/1/2021,68,73
14/1/2021,68,71
15/1/2021,68,70
16/1/2021,68,70
17/1/2021,68,73
18/1/2021,68,71
19/1/2021,69,72
20/1/2021,68,71
21/1/2021,68,71
22/1/2021,69,73
23/1/2021,69,74
24/1/2021,69,74
25/1/2021,69,71
26/1/2021,68,71
27/1/2021,68,73
28/1/2021,68,71
29/1/2021,69,72
30/1/2021,69,73
31/1/2021,69,73
1/2/2021,69,71
2/2/2021,69,71
3/2/2021,69,71
4/2/2021,,
5/2/2021,,
6/2/2021,,
7/2/2021,68,73
8/2/2021,69,73
9/2/2021,68,73
10/2/2021,68,72
11/2/2021,69,73
12/2/2021,69,73
13/2/2021,69,72
14/2/2021,69,74
15/2/2021,69,73
16/2/2021,69,71
17/2/2021,69,70
18/2/2021,,
19/2/2021,,
20/2/2021,,
21/2/2021,69,74
22/2/2021,69,73
23/2/2021,69,71
24/2/2021,69,74
25/2/2021,69,73
26/2/2021,69,72
27/2/2021,,
28/2/2021,68,73
1/3/2021,69,73
2/3/2021,69,74
3/3/2021,68,73
4/3/2021,69,74
5/3/2021,69,71
6/3/2021,69,74
7/3/2021,69,71
8/3/2021,69,73
9/3/2021,69,74
10/3/2021,69,73
11/3/2021,69,71
12/3/2021,70,74
13/3/2021,69,74
14/3/2021,69,73
15/3/2021,69,74
16/3/2021,69,71
17/3/2021,69,71
18/3/2021,69,74
19/3/2021,69,72
20/3/2021,69,74
21/3/2021,69,73
22/3/2021,70,73
23/3/2021,69,74
24/3/2021,69,74
25/3/2021,69,72
26/3/2021,69,74
27/3/2021,67,71
28/3/2021,69,74
29/3/2021,70,73
30/3/2021,69,74
31/3/2021,69,72
1/4/2021,69,72
2/4/2021,70,71
3/4/2021,69,73
4/4/2021,69,73
5/4/2021,69,74
6/4/2021,69,73
7/4/2021,70,74
8/4/2021,69,73
9/4/2021,69,74
10/4/2021,71,74
11/4/2021,70,74
12/4/2021,69,73
13/4/2021,69,73
14/4/2021,69,72
15/4/2021,69,74
16/4/2021,70,74
17/4/2021,69,72
18/4/2021,70,72
19/4/2021,70,72
20/4/2021,70,72
21/4/2021,69,71
22/4/2021,69,72
23/4/2021,69,72
24/4/2021,69,72
25/4/2021,69,72
26/4/2021,69,71
27/4/2021,69,73
28/4/2021,69,74
29/4/2021,69,74
30/4/2021,70,74
1/5/2021,70,72
2/5/2021,70,74
3/5/2021,70,74
4/5/2021,70,74
5/5/2021,69,73
6/5/2021,69,71
7/5/2021,70,72
8/5/2021,70,74
9/5/2021,70,74
10/5/2021,70,73
11/5/2021,70,73
12/5/2021,70,72
13/5/2021,70,74
14/5/2021,70,71
15/5/2021,70,74
16/5/2021,70,74
17/5/2021,70,74
18/5/2021,70,74
19/5/2021,70,72
20/5/2021,70,71
21/5/2021,70,72
22/5/2021,70,70
23/5/2021,70,73
24/5/2021,70,71
25/5/2021,70,71
26/5/2021,69,74
27/5/2021,70,74
28/5/2021,70,73
29/5/2021,70,72
30/5/2021,70,72
31/5/2021,70,72
1/6/2021,70,73
2/6/2021,70,73
3/6/2021,70,74
4/6/2021,70,72
5/6/2021,,
6/6/2021,70,74
7/6/2021,70,74
8/6/2021,70,74
9/6/2021,70,72
10/6/2021,71,71
11/6/2021,71,71
12/6/2021,70,72
13/6/2021,71,71
14/6/2021,70,71
15/6/2021,69,73
16/6/2021,70,71
17/6/2021,66,69
18/6/2021,70,68
19/6/2021,70,71
20/6/2021,70,71
21/6/2021,70,74
22/6/2021,70,71
23/6/2021,70,71
24/6/2021,71,73
25/6/2021,71,73
26/6/2021,71,71
27/6/2021,71,72
28/6/2021,71,73
29/6/2021,71,69
30/6/2021,71,69
1/7/2021,71,74
